CABANG;PROPINSI;NO ORDER;TANGGAL;SUMBER;SERIES;HARGA JUAL;DISKON;JENIS BAYAR
FKH BONE;SULAWESISELATAN;BTDBNE220500063;17-May-22;OFFLINE;VARIO 160;29.250.000;250.000;TUNAI
FKH BANGLI;BALI;BTDBGL220500027;14-May-22;OFFLINE;VARIO 125;22.980.000;0;TUNAI
FKH MADIUN;JAWATIMUR;BTDMDN220500034;17-May-22;OFFLINE;VARIO 160;30.545.000;545.000;TUNAI
FKH PUTUSSIBAU;KALIMANTANBARAT;BTDPSU220500024;14-May-22;OFFLINE;REVO;18.690.000;100.000;TUNAI
FKH SLIPI;DKIJAKARTA;BTDSLP220500099;17-May-22;OFFLINE;VARIO 125;21.824.000;500.000;TUNAI
FKH SLIPI;DKIJAKARTA;BTDSLP220500104;17-May-22;OFFLINE;VARIO 125;23.677.000;500.000;TUNAI
FKH LAHAT;SUMATERASELATAN;BTDLHT220500007;14-May-22;OFFLINE;CRF150L;36.370.000;0;TUNAI
FKH ENDE;NUSATENGGARATIMUR;BTDNDE220500013;14-May-22;OFFLINE;VARIO 125;23.212.500;0;TUNAI
FKH PAGAR ALAM;SUMATERASELATAN;BTDPGA220500025;14-May-22;OFFLINE;VARIO 160;27.340.000;690.000;TUNAI
FKH KOLAKA;SULAWESITENGGARA;BTDKLK220500013;17-May-22;OFFLINE;CB150 VERZA;23.060.000;0;TUNAI
FKH TAMAFKHARI;KEPULAUANBANGKABELIT;BTDTMS220500010;14-May-22;OFFLINE;VARIO 160;30.590.000;1.000.000;TUNAI
FKH DENPASAR;BALI;BTDDPR220500059;23-May-22;OFFLINE;VARIO 160;29.710.000;0;TUNAI
FKH KARAWANG;JAWABARAT;BTDKRW220500062;17-May-22;OFFLINE;VARIO 160;29.525.000;300.000;TUNAI
FKH SURABAYA;JAWATIMUR;BTDSBY220500022;14-May-22;OFFLINE;VARIO 160;30.455.000;600.000;TUNAI
FKH MALANG KOTA;JAWATIMUR;BTDMLG220500023;14-May-22;OFFLINE;VARIO 160;27.656.000;356.000;TUNAI
FKH MAKALE;SULAWESISELATAN;BTDMKL220500035;14-May-22;OFFLINE;REVO;16.520.000;20.000;TUNAI
FKH SUNGAI LIAT;KEPULAUANBANGKABELIT;BTDSNL220500028;14-May-22;OFFLINE;SUPRAX125;21.862.000;434.000;TUNAI
FKH MAJENE;SULAWESIBARAT;BTDMJN220500019;18-May-22;ONLINE;SCOOPY;22.310.000;0;TUNAI
FKH MOROTAI SELATAN;MALUKUUTARA;BTDMRT220500008;14-May-22;OFFLINE;REVO;18.130.000;300.000;TUNAI
FKH SUNGAI LIAT;KEPULAUANBANGKABELIT;BTDSNL220500029;17-May-22;OFFLINE;VARIO 160;28.174.750;124.750;TUNAI
FKH PASANGKAYU;SULAWESIBARAT;BTDPKY220500017;17-May-22;ONLINE;SCOOPY;23.120.000;0;TUNAI
FKH TAMAFKHARI;KEPULAUANBANGKABELIT;BTDTMS220500011;17-May-22;OFFLINE;VARIO 160;30.874.750;800.000;TUNAI
FKH ATAMBUA;NUSATENGGARATIMUR;BTDATB220500040;14-May-22;OFFLINE;VARIO 125;23.661.000;61.000;TUNAI
